Project: snf0
Revision: snf0
Flow Start Date: Wed Jul 17 05:23:14 CEST 2019
Flow End Date: Wed Jul 17 05:59:25 CEST 2019

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C,2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C (Best),14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Worst-case Slack,1.112 ns,1.024 ns,0.425 ns,1.412 ns,1.305 ns,0.563 ns,1.581 ns,1.423 ns,0.630 ns,1.581 ns,1.423 ns,0.630 ns,1.581 ns,1.423 ns,0.630 ns,1.248 ns,1.120 ns,0.502 ns,1.248 ns,1.120 ns,0.502 ns,1.248 ns,1.120 ns,0.502 ns,1.112 ns,1.024 ns,0.425 ns,1.581 ns,1.423 ns,0.630 ns,1.581 ns,1.423 ns,0.630 ns,1.841 ns,1.707 ns,0.778 ns,1.154 ns,1.032 ns,0.436 ns,1.773 ns,1.637 ns,0.744 ns,1.456 ns,1.351 ns,0.594 ns,1.626 ns,1.491 ns,0.651 ns
Clock Hold: Total Keeper TNS,-0.19 ns,-0.234 ns,-0.202 ns,-0.246 ns,-0.288 ns,-0.24 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,-0.19 ns,-0.234 ns,-0.202 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,-0.048 ns,-0.104 ns,-0.148 ns,0.0 ns,-0.023 ns,-0.112 ns,0.0 ns,0.0 ns,-0.032 ns,-0.044 ns,-0.096 ns,-0.148 ns,0.0 ns,-0.048 ns,-0.124 ns
Clock Period: Geometric Mean,10.25 ns,9.65 ns,4.57 ns,10.75 ns,10.16 ns,4.78 ns,8.26 ns,7.88 ns,3.68 ns,8.26 ns,7.88 ns,3.68 ns,8.26 ns,7.88 ns,3.68 ns,8.44 ns,7.99 ns,3.86 ns,8.44 ns,7.99 ns,3.86 ns,8.44 ns,7.99 ns,3.86 ns,10.25 ns,9.65 ns,4.57 ns,8.26 ns,7.88 ns,3.68 ns,8.26 ns,7.88 ns,3.68 ns,9.0 ns,8.51 ns,3.94 ns,8.34 ns,7.97 ns,3.67 ns,8.61 ns,8.21 ns,3.87 ns,8.15 ns,7.78 ns,3.64 ns,9.26 ns,8.7 ns,4.21 ns
Clock Recovery: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Removal: Total Keeper TNS,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns,0 ns
Clock Setup: 'CLK_50': Actual Time,8.519 ns,8.140 ns,3.898 ns,9.303 ns,8.908 ns,4.156 ns,8.115 ns,7.771 ns,4.025 ns,8.115 ns,7.771 ns,4.025 ns,8.115 ns,7.771 ns,4.025 ns,8.532 ns,8.200 ns,4.293 ns,8.532 ns,8.200 ns,4.293 ns,8.532 ns,8.200 ns,4.293 ns,8.519 ns,8.140 ns,3.898 ns,8.115 ns,7.771 ns,4.025 ns,8.115 ns,7.771 ns,4.025 ns,8.386 ns,8.013 ns,3.935 ns,8.065 ns,7.749 ns,3.841 ns,8.284 ns,7.916 ns,3.927 ns,7.841 ns,7.497 ns,3.648 ns,8.638 ns,8.069 ns,4.333 ns
Clock Setup: 'CLK_50': Fmax,117.38 MHz,122.85 MHz,256.54 MHz,107.49 MHz,112.26 MHz,240.62 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.38 MHz,122.85 MHz,256.54 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,119.25 MHz,124.8 MHz,254.13 MHz,123.99 MHz,129.05 MHz,260.35 MHz,120.71 MHz,126.33 MHz,254.65 MHz,127.53 MHz,133.39 MHz,274.12 MHz,115.77 MHz,123.93 MHz,230.79 MHz
Clock Setup: 'CLK_50': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'CLK_50': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'CLK_50': Restricted Fmax,117.38 MHz,122.85 MHz,250.0 MHz,107.49 MHz,112.26 MHz,240.62 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.21 MHz,121.95 MHz,232.94 MHz,117.38 MHz,122.85 MHz,250.0 MHz,123.23 MHz,128.68 MHz,248.45 MHz,123.23 MHz,128.68 MHz,248.45 MHz,119.25 MHz,124.8 MHz,250.0 MHz,123.99 MHz,129.05 MHz,250.0 MHz,120.71 MHz,126.33 MHz,250.0 MHz,127.53 MHz,133.39 MHz,250.0 MHz,115.77 MHz,123.93 MHz,230.79 MHz
Clock Setup: 'CLK_50': Worst-case Slack,11.449 ns,11.548 ns,16.046 ns,10.697 ns,11.092 ns,15.844 ns,11.885 ns,12.229 ns,15.975 ns,11.885 ns,12.229 ns,15.975 ns,11.885 ns,12.229 ns,15.975 ns,11.468 ns,11.800 ns,15.707 ns,11.468 ns,11.800 ns,15.707 ns,11.468 ns,11.800 ns,15.707 ns,11.449 ns,11.548 ns,16.046 ns,11.885 ns,12.229 ns,15.975 ns,11.885 ns,12.229 ns,15.975 ns,11.614 ns,11.987 ns,16.065 ns,11.935 ns,12.251 ns,16.159 ns,11.716 ns,12.084 ns,16.073 ns,12.159 ns,12.503 ns,16.352 ns,11.362 ns,11.931 ns,15.667 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Actual Time,9.180 ns,8.610 ns,4.049 ns,9.833 ns,9.200 ns,4.296 ns,6.539 ns,6.308 ns,2.740 ns,6.539 ns,6.308 ns,2.740 ns,6.539 ns,6.308 ns,2.740 ns,6.622 ns,6.221 ns,2.872 ns,6.622 ns,6.221 ns,2.872 ns,6.622 ns,6.221 ns,2.872 ns,9.180 ns,8.610 ns,4.049 ns,6.539 ns,6.308 ns,2.740 ns,6.539 ns,6.308 ns,2.740 ns,7.583 ns,7.164 ns,3.224 ns,6.514 ns,6.272 ns,2.734 ns,7.024 ns,6.785 ns,3.178 ns,6.350 ns,6.165 ns,2.886 ns,8.148 ns,7.682 ns,3.611 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Fmax,108.93 MHz,116.14 MHz,246.97 MHz,101.7 MHz,108.7 MHz,232.77 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,151.01 MHz,160.75 MHz,348.19 MHz,151.01 MHz,160.75 MHz,348.19 MHz,151.01 MHz,160.75 MHz,348.19 MHz,108.93 MHz,116.14 MHz,246.97 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,131.87 MHz,139.59 MHz,310.17 MHz,153.52 MHz,159.44 MHz,365.76 MHz,142.37 MHz,147.38 MHz,314.66 MHz,157.48 MHz,162.21 MHz,346.5 MHz,122.73 MHz,130.17 MHz,276.93 MHz
