Project: snf0
Revision: snf0
Flow Start Date: Wed Jul 17 05:23:14 CEST 2019
Flow End Date: Wed Jul 17 05:59:25 CEST 2019

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C,2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C,5-slow-1200mV-85C,5-slow-1200mV-0C,5-fast-1200mV-0C,6-slow-1200mV-85C,6-slow-1200mV-0C,6-fast-1200mV-0C,7-slow-1200mV-85C,7-slow-1200mV-0C,7-fast-1200mV-0C,8-slow-1200mV-85C,8-slow-1200mV-0C,8-fast-1200mV-0C,9-slow-1200mV-85C,9-slow-1200mV-0C,9-fast-1200mV-0C,10-slow-1200mV-85C,10-slow-1200mV-0C,10-fast-1200mV-0C,11-slow-1200mV-85C,11-slow-1200mV-0C,11-fast-1200mV-0C,12-slow-1200mV-85C,12-slow-1200mV-0C,12-fast-1200mV-0C,13-slow-1200mV-85C,13-slow-1200mV-0C,13-fast-1200mV-0C (Best),14-slow-1200mV-85C,14-slow-1200mV-0C,14-fast-1200mV-0C,15-slow-1200mV-85C,15-slow-1200mV-0C,15-fast-1200mV-0C
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Restricted Fmax,108.93 MHz,116.14 MHz,246.97 MHz,101.7 MHz,108.7 MHz,232.77 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,151.01 MHz,160.75 MHz,348.19 MHz,151.01 MHz,160.75 MHz,348.19 MHz,151.01 MHz,160.75 MHz,348.19 MHz,108.93 MHz,116.14 MHz,246.97 MHz,152.93 MHz,158.53 MHz,364.96 MHz,152.93 MHz,158.53 MHz,364.96 MHz,131.87 MHz,139.59 MHz,310.17 MHz,153.52 MHz,159.44 MHz,365.76 MHz,142.37 MHz,147.38 MHz,314.66 MHz,157.48 MHz,162.21 MHz,346.5 MHz,122.73 MHz,130.17 MHz,276.93 MHz
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,10.663 ns,11.248 ns,15.872 ns,10.856 ns,11.402 ns,15.937 ns,13.426 ns,13.694 ns,17.205 ns,13.426 ns,13.694 ns,17.205 ns,13.426 ns,13.694 ns,17.205 ns,13.088 ns,13.342 ns,16.965 ns,13.088 ns,13.342 ns,16.965 ns,13.088 ns,13.342 ns,16.965 ns,10.663 ns,11.248 ns,15.872 ns,13.426 ns,13.694 ns,17.205 ns,13.426 ns,13.694 ns,17.205 ns,12.320 ns,12.754 ns,16.725 ns,13.393 ns,13.788 ns,17.214 ns,13.204 ns,13.474 ns,16.907 ns,13.891 ns,14.117 ns,17.204 ns,11.768 ns,12.247 ns,16.343 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Actual Time,13.759 ns,12.834 ns,6.046 ns,13.578 ns,12.802 ns,6.101 ns,10.624 ns,9.978 ns,4.506 ns,10.624 ns,9.978 ns,4.506 ns,10.624 ns,9.978 ns,4.506 ns,10.632 ns,9.983 ns,4.649 ns,10.632 ns,9.983 ns,4.649 ns,10.632 ns,9.983 ns,4.649 ns,13.759 ns,12.834 ns,6.046 ns,10.624 ns,9.978 ns,4.506 ns,10.624 ns,9.978 ns,4.506 ns,11.467 ns,10.728 ns,4.827 ns,11.046 ns,10.404 ns,4.696 ns,10.957 ns,10.295 ns,4.649 ns,10.871 ns,10.181 ns,4.576 ns,11.283 ns,10.620 ns,4.761 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Fmax,72.68 MHz,77.92 MHz,165.4 MHz,73.65 MHz,78.11 MHz,163.91 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.06 MHz,100.17 MHz,215.1 MHz,94.06 MHz,100.17 MHz,215.1 MHz,94.06 MHz,100.17 MHz,215.1 MHz,72.68 MHz,77.92 MHz,165.4 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,87.21 MHz,93.21 MHz,207.17 MHz,90.53 MHz,96.12 MHz,212.95 MHz,91.27 MHz,97.13 MHz,215.1 MHz,91.99 MHz,98.22 MHz,218.53 MHz,88.63 MHz,94.16 MHz,210.04 MHz
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Restricted Fmax,72.68 MHz,77.92 MHz,165.4 MHz,73.65 MHz,78.11 MHz,163.91 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.06 MHz,100.17 MHz,215.1 MHz,94.06 MHz,100.17 MHz,215.1 MHz,94.06 MHz,100.17 MHz,215.1 MHz,72.68 MHz,77.92 MHz,165.4 MHz,94.13 MHz,100.22 MHz,221.93 MHz,94.13 MHz,100.22 MHz,221.93 MHz,87.21 MHz,93.21 MHz,207.17 MHz,90.53 MHz,96.12 MHz,212.95 MHz,91.27 MHz,97.13 MHz,215.1 MHz,91.99 MHz,98.22 MHz,218.53 MHz,88.63 MHz,94.16 MHz,210.04 MHz
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[1]': Worst-case Slack,6.242 ns,7.166 ns,13.954 ns,6.423 ns,7.197 ns,13.899 ns,9.376 ns,10.022 ns,15.494 ns,9.376 ns,10.022 ns,15.494 ns,9.376 ns,10.022 ns,15.494 ns,9.368 ns,10.017 ns,15.351 ns,9.368 ns,10.017 ns,15.351 ns,9.368 ns,10.017 ns,15.351 ns,6.242 ns,7.166 ns,13.954 ns,9.376 ns,10.022 ns,15.494 ns,9.376 ns,10.022 ns,15.494 ns,8.533 ns,9.271 ns,15.173 ns,8.954 ns,9.596 ns,15.304 ns,9.043 ns,9.704 ns,15.351 ns,9.129 ns,9.819 ns,15.424 ns,8.717 ns,9.380 ns,15.239 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns
Clock Setup: 'pll0|altpll_component|auto_generated|pll1|clk[2]': Worst-case Slack,8.810 ns,9.348 ns,14.733 ns,8.735 ns,9.457 ns,14.788 ns,10.560 ns,11.169 ns,15.752 ns,10.560 ns,11.169 ns,15.752 ns,10.560 ns,11.169 ns,15.752 ns,10.251 ns,10.687 ns,15.776 ns,10.251 ns,10.687 ns,15.776 ns,10.251 ns,10.687 ns,15.776 ns,8.810 ns,9.348 ns,14.733 ns,10.560 ns,11.169 ns,15.752 ns,10.560 ns,11.169 ns,15.752 ns,9.422 ns,10.097 ns,15.301 ns,10.308 ns,11.004 ns,15.519 ns,10.218 ns,10.907 ns,15.599 ns,10.935 ns,11.516 ns,15.865 ns,10.717 ns,11.205 ns,15.816 ns
Clock Setup: Total Keeper TNS,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns
Elapsed Time: Analysis & Synthesis,00:00:30,00:00:30,00:00:30,00:00:34,00:00:34,00:00:34,00:00:35,00:00:35,00:00:35,00:00:32,00:00:32,00:00:32,00:00:28,00:00:28,00:00:28,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:29,00:00:29,00:00:29,00:00:28,00:00:28,00:00:28,00:00:32,00:00:32,00:00:32,00:00:34,00:00:34,00:00:34,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32,00:00:32
Elapsed Time: Assembler,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:03,00:00:02,00:00:02,00:00:02,00:00:03,00:00:03,00:00:03
Elapsed Time: EDA Netlist Writer,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:15,00:00:15,00:00:15,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:15,00:00:15,00:00:15,00:00:15,00:00:15,00:00:15,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:16,00:00:15,00:00:15,00:00:15,00:00:16,00:00:16,00:00:16,00:00:15,00:00:15,00:00:15,00:00:16,00:00:16,00:00:16,00:00:15,00:00:15,00:00:15,00:00:16,00:00:16,00:00:16
Elapsed Time: Fitter,00:00:31,00:00:31,00:00:31,00:00:39,00:00:39,00:00:39,00:01:03,00:01:03,00:01:03,00:01:03,00:01:03,00:01:03,00:00:58,00:00:58,00:00:58,00:01:06,00:01:06,00:01:06,00:01:05,00:01:05,00:01:05,00:00:59,00:00:59,00:00:59,00:00:31,00:00:31,00:00:31,00:01:03,00:01:03,00:01:03,00:01:03,00:01:03,00:01:03,00:01:01,00:01:01,00:01:01,00:01:00,00:01:00,00:01:00,00:01:02,00:01:02,00:01:02,00:00:59,00:00:59,00:00:59,00:01:01,00:01:01,00:01:01
Elapsed Time: TimeQuest Timing Analyzer,00:00:06,00:00:06,00:00:06,00:00:07,00:00:07,00:00:07,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:05,00:00:05,00:00:05,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:05,00:00:05,00:00:05,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06,00:00:06
Elapsed Time: Total,00:01:26,00:01:26,00:01:26,00:01:39,00:01:39,00:01:39,00:02:03,00:02:03,00:02:03,00:01:59,00:01:59,00:01:59,00:01:51,00:01:51,00:01:51,00:02:01,00:02:01,00:02:01,00:02:00,00:02:00,00:02:00,00:01:51,00:01:51,00:01:51,00:01:23,00:01:23,00:01:23,00:02:00,00:02:00,00:02:00,00:02:00,00:02:00,00:02:00,00:01:58,00:01:58,00:01:58,00:01:55,00:01:55,00:01:55,00:01:59,00:01:59,00:01:59,00:01:54,00:01:54,00:01:54,00:01:58,00:01:58,00:01:58
Timing Model,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C,Slow 1200mV 85C,Slow 1200mV 0C,Fast 1200mV 0C
Total block memory bits,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784,630784
Total Keeper TNS,-0.19 ns,-0.234 ns,-0.202 ns,-0.246 ns,-0.288 ns,-0.24 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,-0.19 ns,-0.234 ns,-0.202 ns,0.0 ns,-0.02 ns,-0.104 ns,0.0 ns,-0.02 ns,-0.104 ns,-0.048 ns,-0.104 ns,-0.148 ns,0.0 ns,-0.023 ns,-0.112 ns,0.0 ns,0.0 ns,-0.032 ns,-0.044 ns,-0.096 ns,-0.148 ns,0.0 ns,-0.048 ns,-0.124 ns
Total logic elements,10989,10989,10989,10987,10987,10987,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10966,10989,10989,10989,10966,10966,10966,10966,10966,10966,10980,10980,10980,10955,10955,10955,10955,10955,10955,10968,10968,10968,10964,10964,10964
Total Thermal Power Dissipation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Worst-case Slack,-0.048 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.059 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.051 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.062 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.072 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.060 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.048 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.059 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.051 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.005 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.012 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.026 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.037 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.006 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.028 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.062 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]'),0.041 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]'),-0.008 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[1]'),-0.011 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.024 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.037 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),0.001 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.012 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]'),-0.031 ns (Clock Hold: 'pll0|altpll_component|auto_generated|pll1|clk[0]')
